experiment,path,n_in,mean_in,std_in,n_out,mean_out,std_out
cifar10_cnn_eps_1.0_a_2.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_1.0_a_2.0_dataset_100_canary_blank,10000,-8.84334945678711,6.011706829071045,28800,-8.827041625976562,5.988567352294922
cifar10_cnn_eps_1.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_1.0_a_2.0_dataset_100_canary_clipbkd,10000,-8.924543380737305,6.028812408447266,10000,-8.987797737121582,5.988387584686279
cifar10_cnn_eps_1.0_a_5.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_1.0_a_5.0_dataset_100_canary_blank,8600,-13.768210411071777,9.53728199005127,10000,-14.027397155761719,9.510156631469727
cifar10_cnn_eps_1.0_a_5.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_1.0_a_5.0_dataset_100_canary_clipbkd,10000,-13.845582962036133,9.571084976196289,10000,-13.961187362670898,9.443166732788086
cifar10_cnn_eps_4.0_a_2.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_4.0_a_2.0_dataset_100_canary_blank,10000,-5.108582973480225,3.0622026920318604,10000,-5.270873069763184,3.06518816947937
cifar10_cnn_eps_4.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_4.0_a_2.0_dataset_100_canary_clipbkd,10000,-4.667109966278076,2.8522086143493652,10000,-4.772909641265869,2.8468565940856934
cifar10_cnn_eps_4.0_a_5.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_4.0_a_5.0_dataset_100_canary_blank,10000,-7.119700908660889,4.77432107925415,10000,-7.146365642547607,4.732931137084961
cifar10_cnn_eps_4.0_a_5.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/cifar10_cnn_eps_4.0_a_5.0_dataset_100_canary_clipbkd,10000,-7.261564254760742,4.71035099029541,10000,-7.29823112487793,4.705527305603027
mnist_cnn_eps_1.0_a_2.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_1.0_a_2.0_dataset_100_canary_blank,50000,-4.031961441040039,2.769658088684082,50000,-4.879266738891602,2.9334187507629395
mnist_cnn_eps_1.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_1.0_a_2.0_dataset_100_canary_clipbkd,50000,-4.538238525390625,2.758622646331787,50000,-5.162186145782471,2.843453884124756
mnist_cnn_eps_1.0_a_5.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_1.0_a_5.0_dataset_100_canary_blank,23600,-6.7088942527771,4.586490154266357,50000,-7.254899501800537,4.66376256942749
mnist_cnn_eps_1.0_a_5.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_1.0_a_5.0_dataset_100_canary_clipbkd,24400,-7.174679756164551,4.483010292053223,50000,-7.6543989181518555,4.567544460296631
mnist_cnn_eps_4.0_a_2.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_4.0_a_2.0_dataset_100_canary_blank,9000,-1.8411445617675781,1.2601847648620605,50000,-3.5455384254455566,1.6086927652359009
mnist_cnn_eps_4.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_4.0_a_2.0_dataset_100_canary_clipbkd,50000,-1.5822198390960693,1.3447902202606201,50000,-2.857236862182617,1.7277390956878662
mnist_cnn_eps_4.0_a_5.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_4.0_a_5.0_dataset_100_canary_blank,50000,-3.11440372467041,2.1367576122283936,50000,-4.204792499542236,2.3572323322296143
mnist_cnn_eps_4.0_a_5.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_4.0_a_5.0_dataset_100_canary_clipbkd,50000,-3.2609071731567383,2.037266254425049,50000,-4.001062870025635,2.185269594192505
mnist_cnn_eps_8.0_a_2.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_8.0_a_2.0_dataset_100_canary_blank,50000,-1.0872883796691895,0.7743481993675232,50000,-3.4579806327819824,1.337534785270691
mnist_cnn_eps_8.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_8.0_a_2.0_dataset_100_canary_clipbkd,31400,-1.180902361869812,0.9369929432868958,50000,-3.046184778213501,1.4247668981552124
mnist_cnn_eps_8.0_a_5.0_dataset_100_canary_blank,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_8.0_a_5.0_dataset_100_canary_blank,50000,-2.288548707962036,1.528472661972046,50000,-3.9230871200561523,1.8452372550964355
mnist_cnn_eps_8.0_a_5.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_cnn_eps_8.0_a_5.0_dataset_100_canary_clipbkd,50000,-2.205950975418091,1.549055814743042,50000,-3.3806493282318115,1.7923474311828613
mnist_lr_eps_1.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_lr_eps_1.0_a_2.0_dataset_100_canary_clipbkd,50000,-4.394363880157471,1.3226770162582397,50000,-5.638721942901611,1.3474950790405273
mnist_lr_eps_1.0_a_5.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_lr_eps_1.0_a_5.0_dataset_100_canary_clipbkd,50000,-4.73008394241333,2.23388934135437,50000,-6.032408714294434,2.3331172466278076
mnist_lr_eps_4.0_a_2.0_dataset_100_canary_clipbkd,/home/bdkim4/bb-audit-dpsgd/Final_data/mnist_lr_eps_4.0_a_2.0_dataset_100_canary_clipbkd,50000,-2.554713010787964,0.6237500905990601,50000,-3.7466788291931152,0.6678810715675354
