epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,-0.04086229205131531,,0.04086229205131531,
1,9,,,,-0.07152342796325684,,0.07152342796325684
1,15,,,-0.0848134458065033,,0.0848134458065033,
2,19,,,,-0.12325382232666016,,0.12325382232666016
2,23,,,-0.12496042251586914,,0.12496042251586914,
3,29,,,,-0.17366695404052734,,0.17366695404052734
3,31,,,-0.16535133123397827,,0.16535133123397827,
4,39,,,,-0.22496891021728516,,0.22496891021728516
4,39,,,-0.20855358242988586,,0.20855358242988586,
5,47,,,-0.24752753973007202,,0.24752753973007202,
6,49,,,,-0.2729010581970215,,0.2729010581970215
6,55,,,-0.2855803072452545,,0.2855803072452545,
7,59,,,,-0.32196760177612305,,0.32196760177612305
7,63,,,-0.3232495188713074,,0.3232495188713074,
8,69,,,,-0.36757946014404297,,0.36757946014404297
8,71,,,-0.35952791571617126,,0.35952791571617126,
9,79,,,,-0.40539121627807617,,0.40539121627807617
9,79,,,-0.3941250145435333,,0.3941250145435333,
10,80,-0.41636502742767334,0.41636502742767334,,,,
