epoch,step,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,9,,-0.21576952934265137,,0.21576952934265137
0,9,-0.19632025063037872,,0.19632025063037872,
1,19,,-0.2518472671508789,,0.2518472671508789
1,19,-0.23541788756847382,,0.23541788756847382,
2,29,,-0.29242897033691406,,0.29242897033691406
2,29,-0.272613525390625,,0.272613525390625,
3,39,,-0.3258697986602783,,0.3258697986602783
3,39,-0.3072448968887329,,0.3072448968887329,
4,49,,-0.3516504764556885,,0.3516504764556885
4,49,-0.33988481760025024,,0.33988481760025024,
5,59,,-0.3861865997314453,,0.3861865997314453
5,59,-0.37216588854789734,,0.37216588854789734,
6,69,,-0.4189460277557373,,0.4189460277557373
6,69,-0.40379977226257324,,0.40379977226257324,
7,79,,-0.4473299980163574,,0.4473299980163574
7,79,-0.4349972903728485,,0.4349972903728485,
8,89,,-0.48061132431030273,,0.48061132431030273
8,89,-0.4664330780506134,,0.4664330780506134,
9,99,,-0.5091676712036133,,0.5091676712036133
9,99,-0.49681657552719116,,0.49681657552719116,
10,109,,-0.5365810394287109,,0.5365810394287109
10,109,-0.5278438329696655,,0.5278438329696655,
11,119,,-0.5598292350769043,,0.5598292350769043
11,119,-0.5570188164710999,,0.5570188164710999,
12,129,,-0.5953588485717773,,0.5953588485717773
12,129,-0.5845723748207092,,0.5845723748207092,
13,139,,-0.6224312782287598,,0.6224312782287598
13,139,-0.6115126609802246,,0.6115126609802246,
14,149,,-0.6569809913635254,,0.6569809913635254
14,149,-0.6384690403938293,,0.6384690403938293,
15,159,,-0.6844568252563477,,0.6844568252563477
15,159,-0.6655716896057129,,0.6655716896057129,
16,169,,-0.7066195011138916,,0.7066195011138916
16,169,-0.693769633769989,,0.693769633769989,
17,179,,-0.7428343296051025,,0.7428343296051025
17,179,-0.7220485806465149,,0.7220485806465149,
18,189,,-0.7599508762359619,,0.7599508762359619
18,189,-0.7492774724960327,,0.7492774724960327,
19,199,,-0.7870285511016846,,0.7870285511016846
19,199,-0.7747206091880798,,0.7747206091880798,
20,209,,-0.8000547885894775,,0.8000547885894775
20,209,-0.799531877040863,,0.799531877040863,
21,219,,-0.8226072788238525,,0.8226072788238525
21,219,-0.8243712782859802,,0.8243712782859802,
22,229,,-0.8581256866455078,,0.8581256866455078
22,229,-0.8491829633712769,,0.8491829633712769,
23,239,,-0.8802919387817383,,0.8802919387817383
23,239,-0.8739880323410034,,0.8739880323410034,
24,249,,-0.9222729206085205,,0.9222729206085205
24,249,-0.898820161819458,,0.898820161819458,
25,259,,-0.9383182525634766,,0.9383182525634766
25,259,-0.9234718680381775,,0.9234718680381775,
26,269,,-0.9489970207214355,,0.9489970207214355
26,269,-0.9479316473007202,,0.9479316473007202,
