epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,-0.0541328601539135,,0.0541328601539135,
1,15,,,-0.05492816120386124,,0.05492816120386124,
2,23,,,-0.05500027537345886,,0.05500027537345886,
3,31,,,-0.05535566434264183,,0.05535566434264183,
4,39,,,-0.05526256561279297,,0.05526256561279297,
5,47,,,-0.05558852478861809,,0.05558852478861809,
6,49,,,,-0.04959756135940552,,0.04959756135940552
6,55,,,-0.0556737445294857,,0.0556737445294857,
7,63,,,-0.05552962049841881,,0.05552962049841881,
8,71,,,-0.055922068655490875,,0.055922068655490875,
9,79,,,-0.055712733417749405,,0.055712733417749405,
10,87,,,-0.055900707840919495,,0.055900707840919495,
11,95,,,-0.05572792515158653,,0.05572792515158653,
12,99,,,,-0.03395581245422363,,0.03395581245422363
12,103,,,-0.05595684051513672,,0.05595684051513672,
13,111,,,-0.055769532918930054,,0.055769532918930054,
14,119,,,-0.055933378636837006,,0.055933378636837006,
15,127,,,-0.056146930903196335,,0.056146930903196335,
16,135,,,-0.0560440719127655,,0.0560440719127655,
17,143,,,-0.055948786437511444,,0.055948786437511444,
18,149,,,,-0.04908806085586548,,0.04908806085586548
18,151,,,-0.05611651763319969,,0.05611651763319969,
19,159,,,-0.05632307007908821,,0.05632307007908821,
20,167,,,-0.05642567202448845,,0.05642567202448845,
21,175,,,-0.056197669357061386,,0.056197669357061386,
22,183,,,-0.05636666342616081,,0.05636666342616081,
23,191,,,-0.05656823143362999,,0.05656823143362999,
24,199,,,,-0.073993980884552,,0.073993980884552
24,199,,,-0.05659107118844986,,0.05659107118844986,
25,207,,,-0.056434016674757004,,0.056434016674757004,
26,215,,,-0.05650899186730385,,0.05650899186730385,
27,223,,,-0.0567307248711586,,0.0567307248711586,
28,231,,,-0.05659550800919533,,0.05659550800919533,
29,239,,,-0.05660112202167511,,0.05660112202167511,
30,247,,,-0.05669282376766205,,0.05669282376766205,
31,249,,,,-0.06433385610580444,,0.06433385610580444
31,255,,,-0.056867267936468124,,0.056867267936468124,
32,263,,,-0.05699777975678444,,0.05699777975678444,
33,271,,,-0.0570405013859272,,0.0570405013859272,
34,279,,,-0.057172246277332306,,0.057172246277332306,
35,287,,,-0.0570383183658123,,0.0570383183658123,
36,295,,,-0.05713196471333504,,0.05713196471333504,
37,299,,,,-0.04346507787704468,,0.04346507787704468
37,303,,,-0.05748552829027176,,0.05748552829027176,
38,311,,,-0.057389140129089355,,0.057389140129089355,
39,319,,,-0.057292889803647995,,0.057292889803647995,
40,327,,,-0.05775604397058487,,0.05775604397058487,
41,335,,,-0.05740911886096001,,0.05740911886096001,
42,343,,,-0.05752138793468475,,0.05752138793468475,
43,349,,,,-0.053197264671325684,,0.053197264671325684
43,351,,,-0.057399164885282516,,0.057399164885282516,
44,359,,,-0.05748690664768219,,0.05748690664768219,
45,367,,,-0.05747200921177864,,0.05747200921177864,
46,375,,,-0.05755595117807388,,0.05755595117807388,
47,383,,,-0.05753394961357117,,0.05753394961357117,
48,391,,,-0.05758235603570938,,0.05758235603570938,
49,399,,,,-0.07282000780105591,,0.07282000780105591
49,399,,,-0.057812903076410294,,0.057812903076410294,
50,407,,,-0.05783390626311302,,0.05783390626311302,
51,415,,,-0.057886894792318344,,0.057886894792318344,
52,423,,,-0.05786915868520737,,0.05786915868520737,
53,431,,,-0.05809823051095009,,0.05809823051095009,
54,439,,,-0.05803855508565903,,0.05803855508565903,
55,447,,,-0.05834046006202698,,0.05834046006202698,
56,449,,,,-0.051246702671051025,,0.051246702671051025
56,455,,,-0.0582054927945137,,0.0582054927945137,
57,463,,,-0.05801268294453621,,0.05801268294453621,
58,471,,,-0.058073706924915314,,0.058073706924915314,
59,479,,,-0.05814066901803017,,0.05814066901803017,
60,487,,,-0.058275047689676285,,0.058275047689676285,
61,495,,,-0.05850894749164581,,0.05850894749164581,
62,499,,,,-0.05751156806945801,,0.05751156806945801
62,503,,,-0.05828157812356949,,0.05828157812356949,
63,511,,,-0.058277677744627,,0.058277677744627,
64,519,,,-0.058177702128887177,,0.058177702128887177,
65,527,,,-0.05844034254550934,,0.05844034254550934,
66,535,,,-0.05841618776321411,,0.05841618776321411,
67,543,,,-0.05865350365638733,,0.05865350365638733,
68,549,,,,-0.057519733905792236,,0.057519733905792236
68,551,,,-0.05841439962387085,,0.05841439962387085,
69,559,,,-0.058368995785713196,,0.058368995785713196,
70,567,,,-0.05862148478627205,,0.05862148478627205,
71,575,,,-0.0585104264318943,,0.0585104264318943,
72,583,,,-0.05860608443617821,,0.05860608443617821,
73,591,,,-0.058505475521087646,,0.058505475521087646,
74,599,,,,-0.05433696508407593,,0.05433696508407593
74,599,,,-0.05869534984230995,,0.05869534984230995,
75,607,,,-0.05855848267674446,,0.05855848267674446,
76,615,,,-0.0585937574505806,,0.0585937574505806,
77,623,,,-0.058701042085886,,0.058701042085886,
78,631,,,-0.05873400345444679,,0.05873400345444679,
79,639,,,-0.058740973472595215,,0.058740973472595215,
80,647,,,-0.05872657522559166,,0.05872657522559166,
81,649,,,,-0.07646656036376953,,0.07646656036376953
81,655,,,-0.05877639725804329,,0.05877639725804329,
82,663,,,-0.058785393834114075,,0.058785393834114075,
83,671,,,-0.05872480571269989,,0.05872480571269989,
84,679,,,-0.05882495269179344,,0.05882495269179344,
85,687,,,-0.05874663591384888,,0.05874663591384888,
86,695,,,-0.058805547654628754,,0.058805547654628754,
87,699,,,,-0.057699382305145264,,0.057699382305145264
87,703,,,-0.05886685103178024,,0.05886685103178024,
88,711,,,-0.05885569378733635,,0.05885569378733635,
89,719,,,-0.05906221270561218,,0.05906221270561218,
90,727,,,-0.05901884287595749,,0.05901884287595749,
91,735,,,-0.05921391770243645,,0.05921391770243645,
92,743,,,-0.05897995084524155,,0.05897995084524155,
93,749,,,,-0.07474642992019653,,0.07474642992019653
93,751,,,-0.0588272288441658,,0.0588272288441658,
94,759,,,-0.058850206434726715,,0.058850206434726715,
95,767,,,-0.05896444618701935,,0.05896444618701935,
96,775,,,-0.05913136154413223,,0.05913136154413223,
97,783,,,-0.05906219407916069,,0.05906219407916069,
98,791,,,-0.05920099467039108,,0.05920099467039108,
99,799,,,,-0.057756006717681885,,0.057756006717681885
99,799,,,-0.05901138484477997,,0.05901138484477997,
100,800,-0.056791454553604126,0.056791454553604126,,,,
